지점명,주소,위도,경도
이수역,서울특별시 서초구 동작대로 112 (방배동),37.4864664,126.98274029999993
이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",37.485850,126.983027
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),37.484414,126.980047
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),37.4934767,126.9865297
방배,서울특별시 서초구 방배로 211,37.491914,126.99049739999998
남성역,서울특별시 동작구 사당로 219 (사당동),37.4841198,126.9725739
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,37.490004,126.992455
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",37.47849216,126.9813456
사당로데오,서울특별시 서초구 방배천로 5-4(방배동),37.4772752,126.98216049999996
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),37.484329,126.995872
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),37.514132,127.020563
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495
대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),37.515000,127.063196
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),37.510150,127.060275
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),37.507750,127.060651
압구정R,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061
수서역R,서울특별시 강남구 광평로 281 (수서동),37.488008,127.102650
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),37.511293,127.048409
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455
강남구청정문,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309
강남R,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449
압구정,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956
신사가로수,서울특별시 강남구 가로수길 59 ,37.521933,127.022521
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827
강남우성,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.030910
학동사거리,서울특별시 강남구 도산대로 328 (논현동),37.52236449999999,127.03795430000002
대치사거리,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.05742710000004
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.04686509999999
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),37.4941059,127.03299730000003
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호,37.513715,127.059245
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.02162499999997
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.501623,127.039375
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.499721,127.033582
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.50314,127.025546
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.05155990000003
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.05791339999996
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",37.507794,127.06517
학동역,서울특별시 강남구 논현로 704 (논현동),37.51464884,127.0307302
대치,서울특별시 강남구 도곡로 511 (대치동),37.49966175,127.0622171
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",37.490298,127.054895
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",37.50703529,127.0555503
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,37.50377562,127.051196
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",37.52674095,127.0281105
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),37.52680046,127.0347174
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),37.49592355,127.0388645
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",37.50236693,127.0407
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5165849,127.04124330000002
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,37.493554,127.061874
포이,서울특별시 강남구 논현로 88 (개포동),37.47781106,127.0451411
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),37.49971982,127.0349084
학여울역,서울특별시 강남구 영동대로 215 (대치동),37.49803646,127.0684943
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.51075489999999,127.04455970000003
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),37.51354184,127.0527183
GS타워,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.03727759999992
